model,role,Mean_MSE,Mean_MAE,Mean_Relative_L2_Error,Mean_NRMSE,Mean_NMAE,Mean_Relative_Max_Error,Mean_PSNR_dB,Mean_Correlation,Mean_Energy_Ratio,Mean_Bias,Training_time_seconds,scenario,source_case,Residual_MAE,Residual_RMSE,Residual_MaxAbs,experiment,factor_tested,ablation_epochs,lambda_pde,use_fourier,seed,repeat_epochs
Homogeneous FDM baseline,traditional_simplified_baseline,0.000256795548753,0.0084088037231583,0.9968338405482464,0.1571719027450192,0.0958509600049824,0.986002429135608,19.90436426753024,0.3444020125760763,0.7607619584432985,-9.28412404936156e-06,0.0072128772735595,heterogeneous,multi_source,,,,,,,,,,
Layered FDM baseline,traditional_layered_baseline,7.351378711020755e-05,0.003521099799695,0.5025968926749947,0.0834528400214261,0.0421485122425361,0.7089317204462439,33.60997042643405,0.8576107094440714,1.215497406261367,-1.3718130317043636e-05,0.0065181255340576,heterogeneous,multi_source,,,,,,,,,,
Coarse heterogeneous FDM baseline,traditional_coarse_grid_baseline,0.0001435673495361,0.0061829068168265,0.7895169644052435,0.119452961146107,0.0721651145731114,0.7797790963303027,21.23473358288712,0.6500677400387637,0.9598632913166444,5.165285424731638e-05,0.0521981716156005,heterogeneous,multi_source,,,,,,,,,,
Sparse trilinear interpolation baseline,traditional_sparse_interpolation_baseline,5.5587225083527366e-05,0.003125557475875,0.5580459955861995,0.072665356116838,0.0341378047032554,0.7833289602495083,23.77099840077912,0.8392400201523326,0.4805441477081766,4.941966164514682e-05,0.0391910076141357,heterogeneous,multi_source,,,,,,,,,,
Weak-PDE PINN,neural_model,2.6510272723309992e-06,0.0012689132761196,0.1531808186290003,0.0159224436051372,0.0124442655833716,0.103092033983448,36.142268492494246,0.9842593050386976,1.0223651362049249,1.5171710058456444e-05,266.2484951019287,heterogeneous,multi_source,164.24383544921875,220.72593688964844,1058.161376953125,,,,,,,
Data-only NN with Fourier,ablation_remove_physics,1.155253483711014e-05,0.0026786796767132,0.321448416343347,0.0331943855674429,0.0261718865684287,0.1874500710041916,29.749186019047087,0.939881571583005,1.1044450097512852,5.335729118426103e-05,62.90726709365845,heterogeneous,multi_source,406.501220703125,559.0987548828125,3887.833251953125,data_only_fourier,PDE term removed,700.0,0.0,True,,
Data-only NN without Fourier,ablation_remove_physics_and_fourier,0.0001918620243568,0.0083458287523991,1.0260853730298407,0.1378503203151737,0.0902643131665579,0.9664890945751268,18.432231395274115,0.0236735730840292,0.0669260791725685,0.0026526612309017,60.088605880737305,heterogeneous,multi_source,0.058229461312294,0.0734369680285453,0.3751572370529175,data_only_no_fourier,PDE and Fourier terms removed,700.0,0.0,False,,
Weak-PDE PINN without Fourier,ablation_remove_fourier,0.0001880313426971,0.007648234518138,1.0250295172191426,0.1365551646775884,0.0818535175894026,1.0031298977787892,18.44679599872457,0.0444739961985609,0.0732769004727521,-0.002015198215151,83.3652138710022,heterogeneous,multi_source,0.1042746156454086,0.1228140145540237,0.3942738175392151,weak_pde_no_fourier,Fourier features removed,700.0,1e-08,False,,
Stronger-PDE PINN with Fourier,ablation_pde_weight_sensitivity,9.786165720319372e-06,0.002444803123405,0.2898304693513203,0.0310540878329828,0.0243074930334954,0.2167463109002714,30.438961782121527,0.9490881527142468,1.0295378762862546,9.36339632440262e-05,89.29399991035461,heterogeneous,multi_source,201.38734436035156,267.6636962890625,1716.29638671875,stronger_pde_fourier,PDE weight increased,700.0,1e-07,True,,
Weak-PDE PINN seed 7,multi_seed_repeat,9.491153516733669e-06,0.0024178630384192,0.2900782398721504,0.0302120106276299,0.0237469326264634,0.1869066919844163,30.59184695465116,0.9485278902811408,1.0631238756293666,0.0001361955831839,89.53183603286743,heterogeneous,multi_source,296.49591064453125,413.2391052246094,3115.656005859375,multi_seed_repeat,,,,,7.0,700.0
