model,role,Mean_MSE,Mean_MAE,Mean_Relative_L2_Error,Mean_NRMSE,Mean_NMAE,Mean_Relative_Max_Error,Mean_PSNR_dB,Mean_Correlation,Mean_Energy_Ratio,Mean_Bias,Training_time_seconds,scenario,source_case,Residual_MAE,Residual_RMSE,Residual_MaxAbs,experiment,factor_tested,ablation_epochs,lambda_pde,use_fourier,seed,repeat_epochs
Homogeneous FDM baseline,traditional_simplified_baseline,0.00022783008829790715,0.007591998811886745,1.080483203351228,0.15239795941705106,0.08756553796444878,0.9553550606087499,19.58913166691075,0.33463165499839387,0.9163864106808574,0.00013376603415752157,0.006928205490112305,faulted,multi_source,,,,,,,,,,
Layered FDM baseline,traditional_layered_baseline,0.00021792385899324846,0.007901242953453307,1.0132593258693772,0.14829815745188527,0.0926519744065617,0.901511207524129,21.532275372955933,0.5284067632978681,1.4712709203942929,0.00012933202788983951,0.006506919860839844,faulted,multi_source,,,,,,,,,,
Coarse heterogeneous FDM baseline,traditional_coarse_grid_baseline,0.00011937327951913216,0.005089716798564472,0.8177328967334621,0.11216134718060951,0.06034459526097676,0.8538195466599375,21.505062062499164,0.5989547069803807,0.8559606473708876,-6.902735148521298e-05,0.05212855339050293,faulted,multi_source,,,,,,,,,,
Sparse trilinear interpolation baseline,traditional_sparse_interpolation_baseline,4.766612511347427e-05,0.0027084263769284484,0.5670474963587327,0.06924260565855946,0.03036755955898479,0.8474356578356805,24.171369792176677,0.8322018312489438,0.49661489993805935,-6.132602023602901e-05,0.03825688362121582,faulted,multi_source,,,,,,,,,,
Weak-PDE PINN,neural_model,2.7339109964798034e-06,0.0012957181431430844,0.16287514014548116,0.016524604373686264,0.01296005249097662,0.10404788280545975,35.856415634719035,0.9835212444354124,1.0168118353082198,9.716809984752631e-05,263.50000977516174,faulted,multi_source,157.32550048828125,215.0532684326172,1046.5526123046875,,,,,,,
Data-only NN with Fourier,ablation_remove_physics,1.2172068590223417e-05,0.002749287451934201,0.34535723597181417,0.034695663954210636,0.02736829276427911,0.1980884901950433,29.38323081199552,0.9360299994059215,1.1092968913858063,6.397859210337163e-05,62.70856213569641,faulted,multi_source,378.05279541015625,544.3414306640625,3251.84912109375,data_only_fourier,PDE term removed,700.0,0.0,True,,
Data-only NN without Fourier,ablation_remove_physics_and_fourier,0.00016421048133050806,0.007857171899345494,1.060939085652286,0.13051763873608258,0.08522161826435481,0.9685233913235142,18.714224922048448,0.017754786921284613,0.1366156616727579,0.0035226972897741435,59.953275203704834,faulted,multi_source,0.07775212824344635,0.1001744344830513,0.3943764865398407,data_only_no_fourier,PDE and Fourier terms removed,700.0,0.0,False,,
Weak-PDE PINN without Fourier,ablation_remove_fourier,0.0001507955328743809,0.005970496700354769,1.0004725061602635,0.1246080584310646,0.06625185223432989,0.994642218564764,19.21485488192125,0.03410848966369364,0.016234409663094522,-0.000322603349617874,83.12500381469727,faulted,multi_source,0.08424423635005951,0.09967275708913803,0.3170875906944275,weak_pde_no_fourier,Fourier features removed,700.0,1e-08,False,,
Stronger-PDE PINN with Fourier,ablation_pde_weight_sensitivity,1.012668166668693e-05,0.0024789586205688214,0.3100772208467469,0.032030048060379054,0.02499767316171442,0.23938869568819288,30.15880357580964,0.945497660240853,1.0162939256525438,8.039266406248076e-05,89.31504511833191,faulted,multi_source,188.90118408203125,254.9508819580078,1110.5782470703125,stronger_pde_fourier,PDE weight increased,700.0,1e-07,True,,
Weak-PDE PINN seed 7,multi_seed_repeat,9.831662770841563e-06,0.0024485810533995613,0.3089038244313536,0.03130711631545396,0.02449341387305391,0.21710633931012677,30.29980759617112,0.945644662875638,1.0595374744162764,0.00011730944856452451,89.5171480178833,faulted,multi_source,257.50567626953125,358.10418701171875,1860.1129150390625,multi_seed_repeat,,,,,7.0,700.0
Weak-PDE PINN seed 42,multi_seed_repeat,1.0527374617451578e-05,0.0025520318571556583,0.3206564510935712,0.03232127974298917,0.025468487702192302,0.1998079846392271,30.008829721278428,0.9432334044220609,1.0789840315669832,6.356271678634495e-05,88.8239119052887,faulted,multi_source,306.57110595703125,429.6716003417969,2316.106689453125,multi_seed_repeat,,,,,42.0,700.0
Weak-PDE PINN seed 123,multi_seed_repeat,1.0043670070376057e-05,0.002482319646516841,0.3108524926126689,0.03162112512784882,0.024822294179429272,0.19516107286508058,30.211356909695166,0.9456965748174161,1.068318740366429,9.257747179003109e-05,88.87612390518188,faulted,multi_source,281.4242858886719,393.6324768066406,1972.895263671875,multi_seed_repeat,,,,,123.0,700.0
