model,role,Mean_MSE,Mean_MAE,Mean_Relative_L2_Error,Mean_NRMSE,Mean_NMAE,Mean_Relative_Max_Error,Mean_PSNR_dB,Mean_Correlation,Mean_Energy_Ratio,Mean_Bias,Training_time_seconds,scenario,source_case,Residual_MAE,Residual_RMSE,Residual_MaxAbs,experiment,factor_tested,ablation_epochs,lambda_pde,use_fourier,seed,repeat_epochs
Homogeneous FDM baseline,traditional_simplified_baseline,0.0002567955487530942,0.008408803723158326,0.9968338405482463,0.15717190274501927,0.09585096000498243,0.986002429135608,19.90436426753024,0.34440201257607633,0.7607619584432985,-9.284124049361559e-06,0.00721287727355957,heterogeneous,multi_source,,,,,,,,,,
Layered FDM baseline,traditional_layered_baseline,7.351378711020755e-05,0.0035210997996950612,0.5025968926749947,0.08345284002142611,0.04214851224253612,0.7089317204462439,33.60997042643405,0.8576107094440714,1.215497406261367,-1.3718130317043635e-05,0.006518125534057617,heterogeneous,multi_source,,,,,,,,,,
Coarse heterogeneous FDM baseline,traditional_coarse_grid_baseline,0.00014356734953615524,0.006182906816826552,0.7895169644052435,0.119452961146107,0.07216511457311142,0.7797790963303027,21.23473358288712,0.6500677400387637,0.9598632913166444,5.165285424731638e-05,0.052198171615600586,heterogeneous,multi_source,,,,,,,,,,
Sparse trilinear interpolation baseline,traditional_sparse_interpolation_baseline,5.5587225083527366e-05,0.003125557475875096,0.5580459955861995,0.07266535611683801,0.034137804703255455,0.7833289602495083,23.77099840077912,0.8392400201523326,0.4805441477081766,4.941966164514682e-05,0.03919100761413574,heterogeneous,multi_source,,,,,,,,,,
Weak-PDE PINN,neural_model,2.6510272723309992e-06,0.0012689132761196421,0.15318081862900035,0.01592244360513721,0.012444265583371606,0.10309203398344807,36.142268492494246,0.9842593050386976,1.0223651362049249,1.5171710058456444e-05,266.2484951019287,heterogeneous,multi_source,164.24383544921875,220.72593688964844,1058.161376953125,,,,,,,
Data-only NN with Fourier,ablation_remove_physics,1.155253483711014e-05,0.0026786796767132933,0.321448416343347,0.03319438556744294,0.026171886568428743,0.18745007100419167,29.749186019047087,0.939881571583005,1.1044450097512852,5.335729118426103e-05,62.90726709365845,heterogeneous,multi_source,406.501220703125,559.0987548828125,3887.833251953125,data_only_fourier,PDE term removed,700.0,0.0,True,,
Data-only NN without Fourier,ablation_remove_physics_and_fourier,0.00019186202435685486,0.008345828752399106,1.0260853730298407,0.13785032031517372,0.09026431316655796,0.9664890945751269,18.432231395274115,0.023673573084029273,0.06692607917256856,0.002652661230901722,60.088605880737305,heterogeneous,multi_source,0.058229461312294006,0.07343696802854538,0.3751572370529175,data_only_no_fourier,PDE and Fourier terms removed,700.0,0.0,False,,
Weak-PDE PINN without Fourier,ablation_remove_fourier,0.00018803134269714515,0.007648234518138094,1.0250295172191426,0.13655516467758846,0.08185351758940264,1.0031298977787892,18.44679599872457,0.04447399619856091,0.07327690047275214,-0.0020151982151510187,83.3652138710022,heterogeneous,multi_source,0.10427461564540863,0.12281401455402374,0.3942738175392151,weak_pde_no_fourier,Fourier features removed,700.0,1e-08,False,,
Stronger-PDE PINN with Fourier,ablation_pde_weight_sensitivity,9.786165720319372e-06,0.0024448031234050828,0.2898304693513203,0.03105408783298284,0.024307493033495484,0.21674631090027144,30.438961782121527,0.9490881527142468,1.0295378762862546,9.36339632440262e-05,89.29399991035461,heterogeneous,multi_source,201.38734436035156,267.6636962890625,1716.29638671875,stronger_pde_fourier,PDE weight increased,700.0,1e-07,True,,
Weak-PDE PINN seed 7,multi_seed_repeat,9.491153516733669e-06,0.0024178630384192137,0.2900782398721504,0.0302120106276299,0.02374693262646345,0.1869066919844163,30.59184695465116,0.9485278902811408,1.0631238756293666,0.00013619558318390726,89.53183603286743,heterogeneous,multi_source,296.49591064453125,413.2391052246094,3115.656005859375,multi_seed_repeat,,,,,7.0,700.0
Weak-PDE PINN seed 42,multi_seed_repeat,1.0197229015055054e-05,0.0025134161435953423,0.30143497156588267,0.031220423775963513,0.024592742269752735,0.18934236614503774,30.287211636210966,0.9453531773177514,1.0781061469020679,4.926402098511239e-05,89.4088020324707,heterogeneous,multi_source,317.2845458984375,432.07244873046875,2062.379150390625,multi_seed_repeat,,,,,42.0,700.0
Weak-PDE PINN seed 123,multi_seed_repeat,9.895930578120703e-06,0.0024682282908718733,0.29589316207620825,0.030824130143449997,0.02422501327021448,0.19079583986010729,30.412594866539923,0.9479818466880009,1.072616812323975,-4.035735541162227e-05,89.48922109603882,heterogeneous,multi_source,308.70404052734375,425.5178527832031,2643.885009765625,multi_seed_repeat,,,,,123.0,700.0
